DEPTH,GR,RHOB,Vp,Vsh,Caliper,Porosity,Resistivity,Stress,PP
24.3512,59.9494,1.8203,1.4952,0.251782437,10.119,61.082,1.039,434399.5957,1949
24.5036,61.8859,1.8134,1.4941,0.27935734,10.0659,56.3414,1.045,435461.3168,1948
24.656,62.9452,1.8022,1.4936,0.294441304,9.9977,60.8015,1.0415,435463.4234,1951
24.8084,65.1982,1.7967,1.495,0.326523028,9.896,60.7564,1.0143,436817.8723,1948.002
24.9608,64.2355,1.787,1.4987,0.312814605,9.7068,63.4039,1.0259,437128.5061,1947
25.1132,63.8111,1.7891,1.5027,0.306771337,9.5419,59.8229,1.03,440314.256,1949
25.2656,64.3255,1.7931,1.5052,0.314096165,9.5415,57.2288,1.028,443976.7241,1948.998
25.418,64.7569,1.8153,1.5058,0.320239111,9.5954,59.4759,0.9979,452184.6949,1946
25.5704,65.3643,1.83,1.506,0.328888218,9.6841,58.7303,1.0023,458579.5536,1948
25.7228,64.7707,1.8395,1.5091,0.320435617,9.7539,56.0053,1.0043,463707.4879,1946
25.8752,64.0105,1.8509,1.5141,0.309610705,9.8473,56.1213,1.0058,469345.5953,1947.01
26.0276,62.7221,1.8662,1.5141,0.291264458,9.917,58.6603,0.9671,476012.5298,1951
26.18,62.5534,1.8775,1.5101,0.288862245,9.9853,58.4477,1.0093,481698.91,1948
26.3324,61.7996,1.8764,1.5069,0.278128466,10.0638,54.3365,1.0008,484219.1305,1949
26.4848,64.0018,1.869,1.5054,0.309486821,10.1056,53.5828,0.9879,485100.8938,1947.004
26.6372,61.5934,1.8576,1.5051,0.27519227,10.1019,57.0457,1.0079,484916.3747,1948.004
26.7896,62.3705,1.8462,1.5061,0.28625783,10.2455,58.8484,1.0027,484697.8033,1947
26.942,61.4172,1.8356,1.51,0.27268326,10.3829,54.6851,0.9915,484656.405,1948
27.0944,61.6125,1.8421,1.5149,0.275464245,10.4752,55.0603,0.9985,489123.8236,1948
27.2468,61.7447,1.8435,1.5162,0.277346715,10.3952,55.7733,0.9991,492248.8628,1947
27.3992,61.3269,1.8364,1.5146,0.271397427,10.3917,54.1313,0.9865,493095.7306,1949
27.5516,63.0197,1.8255,1.514,0.295502151,10.3428,55.7928,1.0142,492895.3688,1949
27.704,61.9457,1.8128,1.5139,0.280208866,10.2138,58.5919,1.0082,492173.7498,1949
27.8564,62.6505,1.8266,1.5128,0.290244906,10.0841,58.9061,0.9702,498648.5024,1949
28.0088,62.0566,1.846,1.5115,0.281788033,10.1638,56.5541,0.9901,506701.599,1952
28.1612,65.1089,1.8918,1.51,0.325251435,10.3948,50.4496,0.9961,522098.51,1949
28.3136,66.3501,1.8859,1.5074,0.342925574,10.6473,54.0893,0.9804,523286.8588,1951
28.466,66.9177,1.864,1.5039,0.351007947,10.8261,53.0292,1.0084,519994.1152,1950.006
28.6184,66.5658,1.7979,1.5014,0.345997047,10.7611,54.7942,0.9578,504239.6093,1952
28.7708,71.0682,1.7871,1.5003,0.410109232,10.6893,53.7586,0.9778,503879.7075,1952
28.9232,79.6641,1.7669,1.5002,0.532511046,10.4545,59.7705,0.9512,500823.1404,1951
29.0756,87.1198,1.7831,1.5006,0.638676917,10.2253,59.2663,0.9281,508078.0831,1953
29.228,90.5717,1.7785,1.5008,0.687830447,9.9192,59.3759,0.9559,509423.5804,1953
29.3804,91.4809,1.7889,1.5007,0.700777053,9.8246,65.4674,0.9867,515074.2561,1952.002
29.5328,90.7703,1.7904,1.5005,0.690658423,9.8222,59.5773,0.9649,518180.1462,1954
29.6852,88.141,1.7826,1.5001,0.653218354,9.8258,61.916,0.9538,518585.0077,1953
29.8376,87.6254,1.7762,1.4997,0.645876438,9.8747,59.7509,0.9543,519375.9422,1956
29.99,86.444,1.7759,1.4993,0.629053824,9.9808,60.048,0.9828,521940.5618,1952.002
30.1424,88.0575,1.7832,1.4985,0.652029351,10.1734,63.3125,0.9626,526749.2913,1954.998
30.2948,88.7098,1.778,1.4974,0.661317814,10.3288,60.8184,0.9552,527868.7131,1958
30.4472,92.1896,1.7566,1.4965,0.710868627,10.4914,58.7751,0.9643,524138.8049,1953
30.5996,94.5737,1.7047,1.4952,0.744817157,10.509,59.9433,0.9721,511198.7536,1954.002
30.752,94.4154,1.7364,1.4931,0.742563035,10.5698,57.433,0.9817,523298.1734,1955
30.9044,93.267,1.7146,1.4913,0.726210327,10.5902,63.0628,0.9426,519289.1056,1957
31.0568,90.7506,1.7235,1.492,0.690377904,10.713,58.3959,0.9768,524558.669,1955
31.2092,88.8984,1.667,1.495,0.664003395,10.7796,60.9445,0.9749,509852.2167,1953
31.3616,88.1426,1.667,1.4981,0.653241137,10.789,64.2569,0.9566,512341.9146,1958
31.514,88.694,1.6668,1.4998,0.661092829,10.7863,67.0766,0.9509,514769.845,1956
31.6664,89.1071,1.6613,1.5004,0.66697519,10.7804,60.3598,0.9508,515552.4251,1958
31.8188,88.1991,1.6571,1.5006,0.654045672,10.7785,59.6379,0.9281,516723.9481,1959
31.9712,88.5424,1.66,1.501,0.658934112,10.7833,64.3939,0.8816,520107.4816,1960
32.1236,91.6077,1.6672,1.5013,0.702582629,10.8264,63.1321,0.9336,524853.366,1959
32.276,93.1575,1.683,1.5015,0.724651095,10.868,59.1866,0.9477,532340.9784,1957.006
32.4284,91.2597,1.6861,1.5023,0.697627262,10.9403,62.1116,0.9364,535839.7474,1959.004
32.5808,89.7148,1.6708,1.5032,0.67562857,11.0201,60.1887,0.9216,533472.8063,1959.002
32.7332,90.3719,1.656,1.5031,0.684985383,11.1506,56.5223,0.9296,531220.5562,1960
32.8856,89.9483,1.6456,1.5014,0.678953506,11.2235,59.7293,0.9838,530342.1249,1959.002
33.038,89.9214,1.6405,1.4992,0.678570462,11.2522,56.7632,0.9405,531148.6222,1961
33.1904,89.3858,1.6313,1.4976,0.670943755,11.2138,57.9612,0.9463,530606.2953,1960
33.3428,90.8433,1.6238,1.4961,0.691697911,11.1107,60.4866,0.9648,530591.9787,1961
33.4952,90.6279,1.6316,1.4949,0.68863071,10.9983,65.8546,0.9902,535577.5295,1961
33.6476,88.2817,1.6396,1.4947,0.655221859,10.8807,59.6595,0.9955,540652.3286,1960
33.8,87.0157,1.6521,1.4952,0.637194579,10.8434,60.0085,0.9515,547241.604,1960
33.9524,86.2014,1.6598,1.4962,0.625599307,10.8423,64.9194,1.0114,552271.0965,1961
34.1048,86.6613,1.6651,1.4976,0.63214808,10.8429,60.5634,1.0329,556521.4443,1962.996
34.2572,86.7737,1.6618,1.4986,0.633748606,10.885,62.0446,1.0387,557900.4266,1961
34.4096,85.3488,1.6539,1.499,0.61345866,10.863,63.528,1.0579,557718.3669,1962
